CmdNumber,Timestamp,LLActionType,InstanceName,CommandType,TargetPosition,EndEffector,Velocity,Acceleration,Pose,Joints,Success,ExecTimeMs,PlanTimeMs,TotalTimeMs,ParentMLAction,Error
11,2026-04-13 17:12:28.244,MoveToLL,MoveToLL_PickUpML_stick5_initlocstick5_robot1_gripper1_rppickup,movel,rppickup,,1.00,0.30,"0.607360;-0.274802;0.339901;0.000000;-3.141590;0.000000","-0.128900;-1.540886;-1.932730;-1.238644;1.554514;1.433690",True,5245.52,0.00,7275.73,,
12,2026-04-13 17:12:37.882,MoveToLL,MoveToLL_TravelML_robot1_rppickup_rpmanipulate_dup2,movej,rpmanipulate,,1.00,0.30,"0.133776;0.348742;0.490041;0.000000;-3.141590;0.000000","1.656148;-0.959557;-2.051016;-1.701770;1.553554;1.650556",True,10829.16,0.00,12875.74,,
13,2026-04-13 17:12:51.034,MoveToLL,MoveToLL_StackML_stick5_table1_robot1_gripper1_finallocstick5_rpmanipulate,planned,finallocstick5,gripper,0.30,0.30,"-0.177652;0.962300;-0.010000;-1.711034;-2.634761;0.000000","",True,17508.91,0.00,19547.74,,
14,2026-04-13 17:13:10.729,MoveToLL,MoveToLL_StackML_stick5_table1_robot1_gripper1_finallocstick5_rpmanipulate,movej,rpmanipulate,,1.00,0.30,"0.133776;0.348742;0.490041;0.000000;-3.141590;0.000000","1.656148;-0.959557;-2.051016;-1.701770;1.553554;1.650556",True,10048.94,0.00,12088.53,,
15,2026-04-13 17:13:25.123,MoveToLL,MoveToLL_TravelML_robot1_rpmanipulate_rppickup_dup3,movej,rppickup,,1.00,0.30,"0.607360;-0.274802;0.339901;0.000000;-3.141590;0.000000","-0.128900;-1.540886;-1.932730;-1.238644;1.554514;1.433690",True,10864.36,0.00,12927.69,,
16,2026-04-13 17:13:50.056,MoveToLL,MoveToLL_PickUpML_stick2_initlocstick2_robot1_gripper1_rppickup,movel,initlocstick2,,0.30,0.30,"0.607370;-0.274820;-0.006000;0.000000;-3.141590;0.000000","",True,5151.65,0.00,7225.98,,
17,2026-04-13 17:13:57.434,CloseGripperLL,CloseGripperLL_PickUpML_stick2_initlocstick2_robot1_gripper1_rppickup,close_gripper,,,0.50,1.00,"","",True,2.54,0.00,2073.50,,
18,2026-04-13 17:13:59.651,MoveToLL,MoveToLL_PickUpML_stick2_initlocstick2_robot1_gripper1_rppickup,movel,rppickup,,1.00,0.30,"0.607360;-0.274802;0.339901;0.000000;-3.141590;0.000000","-0.128900;-1.540886;-1.932730;-1.238644;1.554514;1.433690",True,5834.40,0.00,7895.79,,
19,2026-04-13 17:14:09.820,MoveToLL,MoveToLL_TravelML_robot1_rppickup_rpmanipulate_dup3,movej,rpmanipulate,,1.00,0.30,"0.133776;0.348742;0.490041;0.000000;-3.141590;0.000000","1.656148;-0.959557;-2.051016;-1.701770;1.553554;1.650556",True,10906.71,0.00,12962.06,,
20,2026-04-13 17:14:23.071,MoveToLL,MoveToLL_StackML_stick2_table1_robot1_gripper1_finallocstick2_rpmanipulate,planned,finallocstick2,gripper,0.30,0.30,"0.329976;0.764397;-0.010000;-0.653174;-3.072941;0.000000","",True,16693.99,0.00,18737.55,,
21,2026-04-13 17:14:41.941,MoveToLL,MoveToLL_StackML_stick2_table1_robot1_gripper1_finallocstick2_rpmanipulate,movej,rpmanipulate,,1.00,0.30,"0.133776;0.348742;0.490041;0.000000;-3.141590;0.000000","1.656148;-0.959557;-2.051016;-1.701770;1.553554;1.650556",True,10756.31,0.00,12801.04,,
22,2026-04-13 17:14:57.077,MoveToLL,MoveToLL_TravelML_robot1_rpmanipulate_rppickup_dup4,movej,rppickup,,1.00,0.30,"0.607360;-0.274802;0.339901;0.000000;-3.141590;0.000000","-0.128900;-1.540886;-1.932730;-1.238644;1.554514;1.433690",True,10839.21,0.00,12903.14,,
23,2026-04-13 17:15:14.014,MoveToLL,MoveToLL_PickUpML_stick9_initlocstick9_robot1_gripper1_rppickup,movel,initlocstick9,,0.30,0.30,"0.607370;-0.274820;-0.006000;0.000000;-3.141590;0.000000","",True,5144.82,0.00,7186.95,,
24,2026-04-13 17:15:21.360,CloseGripperLL,CloseGripperLL_PickUpML_stick9_initlocstick9_robot1_gripper1_rppickup,close_gripper,,,0.50,1.00,"","",True,13.58,0.00,2052.11,,
25,2026-04-13 17:15:23.555,MoveToLL,MoveToLL_PickUpML_stick9_initlocstick9_robot1_gripper1_rppickup,movel,rppickup,,1.00,0.30,"0.607360;-0.274802;0.339901;0.000000;-3.141590;0.000000","-0.128900;-1.540886;-1.932730;-1.238644;1.554514;1.433690",True,5930.80,0.00,7965.35,,
26,2026-04-13 17:15:33.891,MoveToLL,MoveToLL_TravelML_robot1_rppickup_rpmanipulate_dup4,movej,rpmanipulate,,1.00,0.30,"0.133776;0.348742;0.490041;0.000000;-3.141590;0.000000","1.656148;-0.959557;-2.051016;-1.701770;1.553554;1.650556",True,10825.30,0.00,12867.57,,
27,2026-04-13 17:15:47.027,MoveToLL,MoveToLL_StackOnTwoML_stick9_robot1_finallocstick9_rpmanipulate_stick5_stick4_gripper1_layer1_layer2,planned,finallocstick9,gripper,0.30,0.30,"-0.093277;0.952227;0.007500;2.557619;1.824332;0.000000","",True,17521.42,0.00,19562.05,,
28,2026-04-13 17:16:06.735,MoveToLL,MoveToLL_StackOnTwoML_stick9_robot1_finallocstick9_rpmanipulate_stick5_stick4_gripper1_layer1_layer2,movej,rpmanipulate,,1.00,0.30,"0.133776;0.348742;0.490041;0.000000;-3.141590;0.000000","1.656148;-0.959557;-2.051016;-1.701770;1.553554;1.650556",True,10068.90,0.00,12084.69,,
29,2026-04-13 17:16:21.118,MoveToLL,MoveToLL_TravelML_robot1_rpmanipulate_rppickup_dup5,movej,rppickup,,1.00,0.30,"0.607360;-0.274802;0.339901;0.000000;-3.141590;0.000000","-0.128900;-1.540886;-1.932730;-1.238644;1.554514;1.433690",True,10902.42,0.00,12938.23,,
30,2026-04-13 17:16:40.758,MoveToLL,MoveToLL_PickUpML_cube2_initloccube2_robot1_gripper1_rppickup,movel,initloccube2,,0.30,0.30,"0.607370;-0.274820;-0.009000;0.000000;-3.141590;0.000000","",True,6274.41,0.00,8334.81,,
31,2026-04-13 17:16:49.240,CloseGripperLL,CloseGripperLL_PickUpML_cube2_initloccube2_robot1_gripper1_rppickup,close_gripper,,,0.50,1.00,"","",True,1.13,0.00,2065.61,,
32,2026-04-13 17:16:51.455,MoveToLL,MoveToLL_PickUpML_cube2_initloccube2_robot1_gripper1_rppickup,movel,rppickup,,1.00,0.30,"0.607360;-0.274802;0.339901;0.000000;-3.141590;0.000000","-0.128900;-1.540886;-1.932730;-1.238644;1.554514;1.433690",True,5123.49,0.00,7162.21,,
33,2026-04-13 17:17:01.222,MoveToLL,MoveToLL_TravelML_robot1_rppickup_rpmanipulate_dup5,movej,rpmanipulate,,1.00,0.30,"0.133776;0.348742;0.490041;0.000000;-3.141590;0.000000","1.656148;-0.959557;-2.051016;-1.701770;1.553554;1.650556",True,11303.72,0.00,13342.09,,
34,2026-04-13 17:17:14.851,MoveToLL,MoveToLL_StackML_cube2_stick5_robot1_gripper1_finloccube2_rpmanipulate,planned,finloccube2,gripper,0.30,0.30,"-0.226348;0.940619;0.007500;-1.711034;-2.634761;0.000000","",True,17491.88,0.00,19542.49,,
35,2026-04-13 17:17:34.544,MoveToLL,MoveToLL_StackML_cube2_stick5_robot1_gripper1_finloccube2_rpmanipulate,movej,rpmanipulate,,1.00,0.30,"0.133776;0.348742;0.490041;0.000000;-3.141590;0.000000","1.656148;-0.959557;-2.051016;-1.701770;1.553554;1.650556",True,10051.70,0.00,12079.34,,
36,2026-04-13 17:17:49.020,MoveToLL,MoveToLL_TravelML_robot1_rpmanipulate_rppickup_dup6,movej,rppickup,,1.00,0.30,"0.607360;-0.274802;0.339901;0.000000;-3.141590;0.000000","-0.128900;-1.540886;-1.932730;-1.238644;1.554514;1.433690",True,10794.88,0.00,12841.38,,
37,2026-04-13 17:18:17.312,MoveToLL,MoveToLL_PickUpML_stick1_initlocstick1_robot1_gripper1_rppickup,movel,initlocstick1,,0.30,0.30,"0.607370;-0.274820;-0.009000;0.000000;-3.141590;0.000000","",True,6347.41,0.00,8391.20,,
38,2026-04-13 17:18:25.848,CloseGripperLL,CloseGripperLL_PickUpML_stick1_initlocstick1_robot1_gripper1_rppickup,close_gripper,,,0.50,1.00,"","",True,12.54,0.00,2052.99,,
39,2026-04-13 17:18:28.041,MoveToLL,MoveToLL_PickUpML_stick1_initlocstick1_robot1_gripper1_rppickup,movel,rppickup,,1.00,0.30,"0.607360;-0.274802;0.339901;0.000000;-3.141590;0.000000","-0.128900;-1.540886;-1.932730;-1.238644;1.554514;1.433690",True,5217.53,0.00,7268.68,,
40,2026-04-13 17:18:37.780,MoveToLL,MoveToLL_TravelML_robot1_rppickup_rpmanipulate_dup6,movej,rpmanipulate,,1.00,0.30,"0.133776;0.348742;0.490041;0.000000;-3.141590;0.000000","1.656148;-0.959557;-2.051016;-1.701770;1.553554;1.650556",True,10749.17,0.00,12767.93,,
41,2026-04-13 17:18:50.843,MoveToLL,MoveToLL_StackML_stick1_table1_robot1_gripper1_finallocstick1_rpmanipulate,planned,finallocstick1,gripper,0.30,0.30,"0.257008;0.974215;-0.010000;1.711034;-2.634761;0.000000","",True,21487.71,0.00,23536.44,,
42,2026-04-13 17:19:14.520,MoveToLL,MoveToLL_StackML_stick1_table1_robot1_gripper1_finallocstick1_rpmanipulate,movej,rpmanipulate,,1.00,0.30,"0.133776;0.348742;0.490041;0.000000;-3.141590;0.000000","1.656148;-0.959557;-2.051016;-1.701770;1.553554;1.650556",True,14271.06,0.00,16302.88,,
43,2026-04-13 17:19:33.129,MoveToLL,MoveToLL_TravelML_robot1_rpmanipulate_rppickup_dup7,movej,rppickup,,1.00,0.30,"0.607360;-0.274802;0.339901;0.000000;-3.141590;0.000000","-0.128900;-1.540886;-1.932730;-1.238644;1.554514;1.433690",True,10888.82,0.00,12929.23,,
44,2026-04-13 17:19:54.043,MoveToLL,MoveToLL_PickUpML_stick3_initlocstick3_robot1_gripper1_rppickup,movel,initlocstick3,,0.30,0.30,"0.607370;-0.274820;-0.006000;0.000000;-3.141590;0.000000","",True,5205.28,0.00,7243.16,,
45,2026-04-13 17:20:01.431,CloseGripperLL,CloseGripperLL_PickUpML_stick3_initlocstick3_robot1_gripper1_rppickup,close_gripper,,,0.50,1.00,"","",True,11.92,0.00,2067.35,,
46,2026-04-13 17:20:03.649,MoveToLL,MoveToLL_PickUpML_stick3_initlocstick3_robot1_gripper1_rppickup,movel,rppickup,,1.00,0.30,"0.607360;-0.274802;0.339901;0.000000;-3.141590;0.000000","-0.128900;-1.540886;-1.932730;-1.238644;1.554514;1.433690",True,5921.61,0.00,7960.68,,
47,2026-04-13 17:20:14.081,MoveToLL,MoveToLL_TravelML_robot1_rppickup_rpmanipulate_dup7,movej,rpmanipulate,,1.00,0.30,"0.133776;0.348742;0.490041;0.000000;-3.141590;0.000000","1.656148;-0.959557;-2.051016;-1.701770;1.553554;1.650556",True,10747.73,0.00,12795.84,,
48,2026-04-13 17:20:27.190,MoveToLL,MoveToLL_StackML_stick3_table1_robot1_gripper1_finallocstick3_rpmanipulate,planned,finallocstick3,gripper,0.30,0.30,"0.116090;0.682294;-0.010000;2.634761;1.711034;0.000000","",True,15868.28,0.00,17913.18,,
49,2026-04-13 17:20:45.233,MoveToLL,MoveToLL_StackML_stick3_table1_robot1_gripper1_finallocstick3_rpmanipulate,movej,rpmanipulate,,1.00,0.30,"0.133776;0.348742;0.490041;0.000000;-3.141590;0.000000","1.656148;-0.959557;-2.051016;-1.701770;1.553554;1.650556",True,9357.72,0.00,11400.65,,
50,2026-04-13 17:20:59.083,MoveToLL,MoveToLL_TravelML_robot1_rpmanipulate_rppickup_dup8,movej,rppickup,,1.00,0.30,"0.607360;-0.274802;0.339901;0.000000;-3.141590;0.000000","-0.128900;-1.540886;-1.932730;-1.238644;1.554514;1.433690",True,10753.96,0.00,12797.04,,
51,2026-04-13 17:21:26.987,MoveToLL,MoveToLL_PickUpML_cube1_initloccube1_robot1_gripper1_rppickup,movel,initloccube1,,0.30,0.30,"0.607370;-0.274820;-0.009000;0.000000;-3.141590;0.000000","",True,5266.93,0.00,7330.22,,
52,2026-04-13 17:21:34.493,CloseGripperLL,CloseGripperLL_PickUpML_cube1_initloccube1_robot1_gripper1_rppickup,close_gripper,,,0.50,1.00,"","",True,12.84,0.00,2046.10,,
53,2026-04-13 17:21:36.691,MoveToLL,MoveToLL_PickUpML_cube1_initloccube1_robot1_gripper1_rppickup,movel,rppickup,,1.00,0.30,"0.607360;-0.274802;0.339901;0.000000;-3.141590;0.000000","-0.128900;-1.540886;-1.932730;-1.238644;1.554514;1.433690",True,5132.42,0.00,7175.77,,
54,2026-04-13 17:21:46.229,MoveToLL,MoveToLL_TravelML_robot1_rppickup_rpmanipulate_dup8,movej,rpmanipulate,,1.00,0.30,"0.133776;0.348742;0.490041;0.000000;-3.141590;0.000000","1.656148;-0.959557;-2.051016;-1.701770;1.553554;1.650556",True,10824.35,0.00,12872.41,,
55,2026-04-13 17:21:59.422,MoveToLL,MoveToLL_StackML_cube1_stick1_robot1_gripper1_finloccube1_rpmanipulate,planned,finloccube1,gripper,0.30,0.30,"0.193941;1.002295;0.007500;2.634761;1.711034;0.000000","",True,17453.65,0.00,19507.63,,
56,2026-04-13 17:22:19.083,MoveToLL,MoveToLL_StackML_cube1_stick1_robot1_gripper1_finloccube1_rpmanipulate,movej,rpmanipulate,,1.00,0.30,"0.133776;0.348742;0.490041;0.000000;-3.141590;0.000000","1.656148;-0.959557;-2.051016;-1.701770;1.553554;1.650556",True,10045.22,0.00,12080.41,,
57,2026-04-13 17:22:33.691,MoveToLL,MoveToLL_TravelML_robot1_rpmanipulate_rppickup_dup9,movej,rppickup,,1.00,0.30,"0.607360;-0.274802;0.339901;0.000000;-3.141590;0.000000","-0.128900;-1.540886;-1.932730;-1.238644;1.554514;1.433690",True,10750.72,0.00,12809.35,,
58,2026-04-13 17:22:49.885,MoveToLL,MoveToLL_PickUpML_stick7_initlocstick7_robot1_gripper1_rppickup,movel,initlocstick7,,0.30,0.30,"0.607370;-0.274820;-0.006000;0.000000;-3.141590;0.000000","",True,6386.71,0.00,8440.98,,
59,2026-04-13 17:22:58.477,CloseGripperLL,CloseGripperLL_PickUpML_stick7_initlocstick7_robot1_gripper1_rppickup,close_gripper,,,0.50,1.00,"","",True,13.71,0.00,2063.17,,
60,2026-04-13 17:23:00.697,MoveToLL,MoveToLL_PickUpML_stick7_initlocstick7_robot1_gripper1_rppickup,movel,rppickup,,1.00,0.30,"0.607360;-0.274802;0.339901;0.000000;-3.141590;0.000000","-0.128900;-1.540886;-1.932730;-1.238644;1.554514;1.433690",True,5919.65,0.00,7953.54,,
61,2026-04-13 17:23:11.122,MoveToLL,MoveToLL_TravelML_robot1_rppickup_rpmanipulate_dup9,movej,rpmanipulate,,1.00,0.30,"0.133776;0.348742;0.490041;0.000000;-3.141590;0.000000","1.656148;-0.959557;-2.051016;-1.701770;1.553554;1.650556",True,10736.74,0.00,12768.35,,
62,2026-04-13 17:23:24.179,MoveToLL,MoveToLL_StackOnTwoML_stick7_robot1_finallocstick7_rpmanipulate_stick3_stick2_gripper1_layer1_layer2,planned,finallocstick7,gripper,0.30,0.30,"0.234723;0.677114;0.007500;-1.824332;-2.557619;0.000000","",True,15888.27,0.00,17937.31,,
63,2026-04-13 17:23:42.254,MoveToLL,MoveToLL_StackOnTwoML_stick7_robot1_finallocstick7_rpmanipulate_stick3_stick2_gripper1_layer1_layer2,movej,rpmanipulate,,1.00,0.30,"0.133776;0.348742;0.490041;0.000000;-3.141590;0.000000","1.656148;-0.959557;-2.051016;-1.701770;1.553554;1.650556",True,8639.78,0.00,10689.48,,
64,2026-04-13 17:23:55.433,MoveToLL,MoveToLL_TravelML_robot1_rpmanipulate_rppickup_dup10,movej,rppickup,,1.00,0.30,"0.607360;-0.274802;0.339901;0.000000;-3.141590;0.000000","-0.128900;-1.540886;-1.932730;-1.238644;1.554514;1.433690",True,10740.50,0.00,12807.42,,
65,2026-04-13 17:24:18.612,MoveToLL,MoveToLL_PickUpML_stick8_initlocstick8_robot1_gripper1_rppickup,movel,initlocstick8,,0.30,0.30,"0.607370;-0.274820;-0.006000;0.000000;-3.141590;0.000000","",True,5198.68,0.00,7256.93,,
66,2026-04-13 17:24:26.025,CloseGripperLL,CloseGripperLL_PickUpML_stick8_initlocstick8_robot1_gripper1_rppickup,close_gripper,,,0.50,1.00,"","",True,13.52,0.00,2037.56,,
67,2026-04-13 17:24:28.205,MoveToLL,MoveToLL_PickUpML_stick8_initlocstick8_robot1_gripper1_rppickup,movel,rppickup,,1.00,0.30,"0.607360;-0.274802;0.339901;0.000000;-3.141590;0.000000","-0.128900;-1.540886;-1.932730;-1.238644;1.554514;1.433690",True,5933.80,0.00,7967.10,,
68,2026-04-13 17:24:38.530,MoveToLL,MoveToLL_TravelML_robot1_rppickup_rpmanipulate_dup10,movej,rpmanipulate,,1.00,0.30,"0.133776;0.348742;0.490041;0.000000;-3.141590;0.000000","1.656148;-0.959557;-2.051016;-1.701770;1.553554;1.650556",True,10832.64,0.00,12881.91,,
69,2026-04-13 17:24:51.689,MoveToLL,MoveToLL_StackOnTwoML_stick8_robot1_finallocstick8_rpmanipulate_stick4_stick3_gripper1_layer1_layer2,planned,finallocstick8,gripper,0.30,0.30,"0.017773;0.746311;0.007500;3.120133;-0.366573;0.000000","",True,17499.43,0.00,19551.68,,
70,2026-04-13 17:25:11.371,MoveToLL,MoveToLL_StackOnTwoML_stick8_robot1_finallocstick8_rpmanipulate_stick4_stick3_gripper1_layer1_layer2,movej,rpmanipulate,,1.00,0.30,"0.133776;0.348742;0.490041;0.000000;-3.141590;0.000000","1.656148;-0.959557;-2.051016;-1.701770;1.553554;1.650556",True,11472.30,0.00,13504.97,,
71,2026-04-13 17:25:27.309,MoveToLL,MoveToLL_TravelML_robot1_rpmanipulate_rppickup_dup11,movej,rppickup,,1.00,0.30,"0.607360;-0.274802;0.339901;0.000000;-3.141590;0.000000","-0.128900;-1.540886;-1.932730;-1.238644;1.554514;1.433690",True,10758.99,0.00,12808.46,,
72,2026-04-13 17:27:11.173,MoveToLL,MoveToLL_PickUpML_stick6_initlocstick6_robot1_gripper1_rppickup,movel,initlocstick6,,0.30,0.30,"0.607370;-0.274820;-0.006000;0.000000;-3.141590;0.000000","",True,5421.31,0.00,7473.10,,
73,2026-04-13 17:27:18.788,CloseGripperLL,CloseGripperLL_PickUpML_stick6_initlocstick6_robot1_gripper1_rppickup,close_gripper,,,0.50,1.00,"","",True,0.74,0.00,2013.64,,
74,2026-04-13 17:27:20.952,MoveToLL,MoveToLL_PickUpML_stick6_initlocstick6_robot1_gripper1_rppickup,movel,rppickup,,1.00,0.30,"0.607360;-0.274802;0.339901;0.000000;-3.141590;0.000000","-0.128900;-1.540886;-1.932730;-1.238644;1.554514;1.433690",True,5921.00,0.00,7972.15,,
75,2026-04-13 17:27:31.294,MoveToLL,MoveToLL_TravelML_robot1_rppickup_rpmanipulate_dup11,movej,rpmanipulate,,1.00,0.30,"0.133776;0.348742;0.490041;0.000000;-3.141590;0.000000","1.656148;-0.959557;-2.051016;-1.701770;1.553554;1.650556",True,10809.37,0.00,12869.51,,
76,2026-04-13 17:27:44.467,MoveToLL,MoveToLL_StackOnTwoML_stick6_robot1_finallocstick6_rpmanipulate_stick2_stick1_gripper1_layer1_layer2,planned,finallocstick6,gripper,0.30,0.30,"0.335155;0.883030;0.007500;0.518512;-3.098508;0.000000","",True,18274.49,0.00,20324.19,,
77,2026-04-13 17:28:04.928,MoveToLL,MoveToLL_StackOnTwoML_stick6_robot1_finallocstick6_rpmanipulate_stick2_stick1_gripper1_layer1_layer2,movej,rpmanipulate,,1.00,0.30,"0.133776;0.348742;0.490041;0.000000;-3.141590;0.000000","1.656148;-0.959557;-2.051016;-1.701770;1.553554;1.650556",True,12157.34,0.00,14200.76,,
78,2026-04-13 17:28:21.866,MoveToLL,MoveToLL_TravelML_robot1_rpmanipulate_rptoolchange,movej,rptoolchange,,1.00,0.30,"-0.276143;0.385864;0.086921;-3.141491;-0.002589;-0.000081","2.086106;-1.186673;-2.396030;-1.129490;1.555172;0.503193",True,9052.45,0.00,11097.14,,
79,2026-04-13 17:28:33.264,DeequipToolLL,DeequipToolLL_DeequipML_robot1_gripper1_equiplocgripper_rptoolchange,play_program,,gripper,0.50,1.00,"","",True,20739.10,0.00,22778.22,,
80,2026-04-13 17:28:56.318,EquipToolLL,EquipToolLL_EquipeML_robot1_staplergun1_rptoolchange_equiplocstapler,play_program,,nailgun,0.50,1.00,"","",True,10309.99,0.00,12341.17,,
81,2026-04-13 17:29:11.362,MoveToLL,MoveToLL_TravelML_robot1_rptoolchange_rpmanipulate,movej,rpmanipulate,,1.00,0.30,"0.133776;0.348742;0.490041;0.000000;-3.141590;0.000000","1.656148;-0.959557;-2.051016;-1.701770;1.553554;1.650556",True,9715.68,0.00,11740.38,,
82,2026-04-13 17:29:23.386,NailingLL,NailingLL_NailingML_stick6_stick1_robot1_staplergun1_rpmanipulate,planned,unknown,nailgun,0.30,0.30,"0.312000;0.950000;0.028000;0.000000;0.000000;0.000000","",True,27901.81,0.00,29956.74,,
83,2026-04-13 17:29:55.775,NailingLL,NailingLL_NailingML_stick6_stick2_robot1_staplergun1_rpmanipulate,planned,unknown,nailgun,0.30,0.30,"0.356000;0.823000;0.028000;0.000000;0.000000;0.000000","",True,9037.80,0.00,11085.35,,
84,2026-04-13 17:30:09.248,NailingLL,NailingLL_NailingML_stick7_stick2_robot1_staplergun1_rpmanipulate,planned,unknown,nailgun,0.30,0.30,"0.301000;0.700000;0.027000;0.000000;0.000000;0.000000","",True,10696.40,0.00,12731.61,,
85,2026-04-13 17:30:24.454,NailingLL,NailingLL_NailingML_stick7_stick3_robot1_staplergun1_rpmanipulate,planned,unknown,nailgun,0.30,0.30,"0.174000;0.656000;0.027000;0.000000;0.000000;0.000000","",True,14609.64,0.00,16650.92,,
86,2026-04-13 17:30:43.516,NailingLL,NailingLL_NailingML_stick8_stick3_robot1_staplergun1_rpmanipulate,planned,unknown,nailgun,0.30,0.30,"0.013000;0.728000;0.027000;0.000000;0.000000;0.000000","",True,9976.31,0.00,12005.28,,
87,2026-04-13 17:30:57.891,NailingLL,NailingLL_NailingML_stick8_stick4_robot1_staplergun1_rpmanipulate,planned,unknown,nailgun,0.30,0.30,"0.031000;0.800000;0.028000;0.000000;0.000000;0.000000","",True,7476.71,0.00,9528.79,,
88,2026-04-13 17:31:09.802,NailingLL,NailingLL_NailingML_stick9_stick4_robot1_staplergun1_rpmanipulate,planned,unknown,nailgun,0.30,0.30,"-0.027000;0.929000;0.028000;0.000000;0.000000;0.000000","",True,8283.37,0.00,10334.20,,
89,2026-04-13 17:31:22.497,NailingLL,NailingLL_NailingML_stick9_stick5_robot1_staplergun1_rpmanipulate,planned,unknown,nailgun,0.30,0.30,"-0.154000;0.973000;0.028000;0.000000;0.000000;0.000000","",True,6740.29,0.00,8756.53,,
90,2026-04-13 17:31:33.708,NailingLL,NailingLL_NailingML_cube1_stick1_robot1_staplergun1_rpmanipulate,planned,unknown,nailgun,0.30,0.30,"0.194000;1.002000;0.027000;0.000000;0.000000;0.000000","",True,15404.99,0.00,17470.87,,
91,2026-04-13 17:31:53.652,NailingLL,NailingLL_NailingML_cube2_stick5_robot1_staplergun1_rpmanipulate,planned,unknown,nailgun,0.30,0.30,"-0.224000;0.942000;0.027000;0.000000;0.000000;0.000000","",True,11385.84,0.00,13449.57,,
92,2026-04-13 17:32:14.042,MoveToLL,MoveToLL_TravelML_robot1_rpmanipulate_rptoolchange_dup2,movej,rptoolchange,,1.00,0.30,"-0.276143;0.385864;0.086921;-3.141491;-0.002589;-0.000081","2.086106;-1.186673;-2.396030;-1.129490;1.555172;0.503193",True,11034.66,0.00,13101.02,,
93,2026-04-13 17:32:27.713,DeequipToolLL,DeequipToolLL_DeequipML_robot1_staplergun1_equiplocstapler_rptoolchange,play_program,,nailgun,0.50,1.00,"","",True,7381.65,0.00,9443.75,,
94,2026-04-13 17:32:37.434,EquipToolLL,EquipToolLL_EquipeML_robot1_gripper1_rptoolchange_equiplocgripper,play_program,,gripper,0.50,1.00,"","",True,20332.80,0.00,22373.84,,
95,2026-04-13 17:33:02.930,MoveToLL,MoveToLL_TravelML_robot1_rptoolchange_rppickup,movej,rppickup,,1.00,0.30,"0.607360;-0.274802;0.339901;0.000000;-3.141590;0.000000","-0.128900;-1.540886;-1.932730;-1.238644;1.554514;1.433690",True,11970.59,0.00,14001.92,,
