CmdNumber,Timestamp,LLActionType,InstanceName,CommandType,TargetPosition,EndEffector,Velocity,Acceleration,Pose,Joints,Success,ExecTimeMs,PlanTimeMs,TotalTimeMs,GapFromPrevMs,PlanningInGapMs,BTOverheadMs,ParentMLAction,Error
11,2026-05-04 13:24:00.912,MoveToLL,MoveToLL_moveToRetract_PickUpML_stick5_initlocstick5_robot1_gripper1_rppickup,movel,rppickup,,0.30,0.30,"0.607360;-0.274802;0.339901;0.000000;-3.141590;0.000000","-0.128900;-1.540886;-1.932730;-1.238644;1.554514;1.433690",True,5954.24,0.00,7993.59,114.57,0.00,114.57,,
12,2026-05-04 13:24:11.437,MoveToLL,MoveToLL_moveToTarget_TravelML_robot1_rppickup_rpmanipulate_dup2,movej,rpmanipulate,,0.30,0.30,"0.133776;0.348742;0.490041;0.000000;-3.141590;0.000000","1.656148;-0.959557;-2.051016;-1.701770;1.553554;1.650556",True,14958.42,0.00,17001.16,2531.30,0.00,2531.30,,
13,2026-05-04 13:24:28.679,MoveToLL,MoveToLL_moveToObjPosition_StackML_stick5_table1_robot1_gripper1_finallocstick5_rpmanipulate,planned,finallocstick5,,0.30,0.30,"-0.177652;0.962300;-0.010000;-1.711034;-2.634761;0.000000","",True,17552.84,0.00,19599.21,240.34,0.00,240.34,,
14,2026-05-04 13:24:48.406,MoveToLL,MoveToLL_moveToRobotPosition_StackML_stick5_table1_robot1_gripper1_finallocstick5_rpmanipulate,movej,rpmanipulate,,0.30,0.30,"0.133776;0.348742;0.490041;0.000000;-3.141590;0.000000","1.656148;-0.959557;-2.051016;-1.701770;1.553554;1.650556",True,12862.53,0.00,14910.50,128.40,0.00,128.40,,
15,2026-05-04 13:25:05.783,MoveToLL,MoveToLL_moveToTarget_TravelML_robot1_rpmanipulate_rppickup_dup3,movej,rppickup,,0.30,0.30,"0.607360;-0.274802;0.339901;0.000000;-3.141590;0.000000","-0.128900;-1.540886;-1.932730;-1.238644;1.554514;1.433690",True,14959.71,0.00,16997.61,2466.06,0.00,2466.06,,
16,2026-05-04 13:25:27.273,MoveToLL,MoveToLL_moveToPickPosition_PickUpML_stick5_initlocstick5_robot1_gripper1_rppickup_dup2,movel,initlocstick5,,0.30,0.30,"0.607370;-0.274820;-0.009000;0.000000;-3.141590;0.000000","",True,5446.54,0.00,7494.78,4492.44,0.00,4492.44,,
17,2026-05-04 13:25:34.892,CloseGripperLL,CloseGripperLL_closeGripper_PickUpML_stick5_initlocstick5_robot1_gripper1_rppickup_dup2,close_gripper,,,0.50,1.00,"","",True,1.05,0.00,2047.80,124.17,0.00,124.17,,
18,2026-05-04 13:25:37.058,MoveToLL,MoveToLL_moveToRetract_PickUpML_stick5_initlocstick5_robot1_gripper1_rppickup_dup2,movel,rppickup,,0.30,0.30,"0.607360;-0.274802;0.339901;0.000000;-3.141590;0.000000","-0.128900;-1.540886;-1.932730;-1.238644;1.554514;1.433690",True,5940.74,0.00,8005.19,118.20,0.00,118.20,,
19,2026-05-04 13:25:47.540,MoveToLL,MoveToLL_moveToTarget_TravelML_robot1_rppickup_rpmanipulate_dup3,movej,rpmanipulate,,0.30,0.30,"0.133776;0.348742;0.490041;0.000000;-3.141590;0.000000","1.656148;-0.959557;-2.051016;-1.701770;1.553554;1.650556",True,14957.75,0.00,17011.22,2476.56,0.00,2476.56,,
20,2026-05-04 13:26:04.802,MoveToLL,MoveToLL_moveToObjPosition_StackML_stick5_table1_robot1_gripper1_finallocstick5_rpmanipulate_dup2,planned,finallocstick5,,0.30,0.30,"-0.177652;0.962300;-0.010000;-1.711034;-2.634761;0.000000","",True,19927.82,0.00,21978.35,251.05,0.00,251.05,,
21,2026-05-04 13:26:26.902,MoveToLL,MoveToLL_moveToRobotPosition_StackML_stick5_table1_robot1_gripper1_finallocstick5_rpmanipulate_dup2,movej,rpmanipulate,,0.30,0.30,"0.133776;0.348742;0.490041;0.000000;-3.141590;0.000000","1.656148;-0.959557;-2.051016;-1.701770;1.553554;1.650556",True,12903.55,0.00,14918.68,121.44,0.00,121.44,,
22,2026-05-04 13:26:44.304,MoveToLL,MoveToLL_moveToTarget_TravelML_robot1_rpmanipulate_rppickup_dup4,movej,rppickup,,0.30,0.30,"0.607360;-0.274802;0.339901;0.000000;-3.141590;0.000000","-0.128900;-1.540886;-1.932730;-1.238644;1.554514;1.433690",True,14946.61,0.00,16988.44,2483.50,0.00,2483.50,,
23,2026-05-04 13:27:01.539,MoveToLL,MoveToLL_moveToPickPosition_PickUpML_cube2_initloccube2_robot1_gripper1_rppickup,movel,initloccube2,,0.30,0.30,"0.607370;-0.274820;-0.009000;0.000000;-3.141590;0.000000","",True,6314.75,0.00,8374.96,246.40,0.00,246.40,,
24,2026-05-04 13:27:10.041,CloseGripperLL,CloseGripperLL_closeGripper_PickUpML_cube2_initloccube2_robot1_gripper1_rppickup,close_gripper,,,0.50,1.00,"","",True,12.85,0.00,2056.86,127.19,0.00,127.19,,
25,2026-05-04 13:27:12.219,MoveToLL,MoveToLL_moveToRetract_PickUpML_cube2_initloccube2_robot1_gripper1_rppickup,movel,rppickup,,0.30,0.30,"0.607360;-0.274802;0.339901;0.000000;-3.141590;0.000000","-0.128900;-1.540886;-1.932730;-1.238644;1.554514;1.433690",True,5953.67,0.00,7988.61,121.32,0.00,121.32,,
26,2026-05-04 13:27:22.655,MoveToLL,MoveToLL_moveToTarget_TravelML_robot1_rppickup_rpmanipulate_dup4,movej,rpmanipulate,,0.30,0.30,"0.133776;0.348742;0.490041;0.000000;-3.141590;0.000000","1.656148;-0.959557;-2.051016;-1.701770;1.553554;1.650556",True,14978.70,0.00,17003.21,2447.28,0.00,2447.28,,
27,2026-05-04 13:27:39.901,MoveToLL,MoveToLL_moveToObjPosition_StackML_cube2_stick5_robot1_gripper1_finalloccube2_rpmanipulate,planned,finalloccube2,,0.30,0.30,"-0.226348;0.940619;0.007500;-1.711034;-2.634761;0.000000","",True,19924.64,0.00,21984.98,242.53,0.00,242.53,,
28,2026-05-04 13:28:02.005,MoveToLL,MoveToLL_moveToRobotPosition_StackML_cube2_stick5_robot1_gripper1_finalloccube2_rpmanipulate,movej,rpmanipulate,,0.30,0.30,"0.133776;0.348742;0.490041;0.000000;-3.141590;0.000000","1.656148;-0.959557;-2.051016;-1.701770;1.553554;1.650556",True,12195.85,0.00,14218.28,119.02,0.00,119.02,,
29,2026-05-04 13:28:18.894,MoveToLL,MoveToLL_moveToTarget_TravelML_robot1_rpmanipulate_rppickup_dup5,movej,rppickup,,0.30,0.30,"0.607360;-0.274802;0.339901;0.000000;-3.141590;0.000000","-0.128900;-1.540886;-1.932730;-1.238644;1.554514;1.433690",True,15429.22,0.00,17479.33,2670.90,0.00,2670.90,,
30,2026-05-04 13:28:36.635,MoveToLL,MoveToLL_moveToPickPosition_PickUpML_stick1_initlocstick1_robot1_gripper1_rppickup,movel,initlocstick1,,0.30,0.30,"0.607370;-0.274820;-0.009000;0.000000;-3.141590;0.000000","",True,6303.38,0.00,8358.35,261.69,0.00,261.69,,
31,2026-05-04 13:28:45.114,CloseGripperLL,CloseGripperLL_closeGripper_PickUpML_stick1_initlocstick1_robot1_gripper1_rppickup,close_gripper,,,0.50,1.00,"","",True,13.67,0.00,2076.10,120.80,0.00,120.80,,
32,2026-05-04 13:28:47.307,MoveToLL,MoveToLL_moveToRetract_PickUpML_stick1_initlocstick1_robot1_gripper1_rppickup,movel,rppickup,,0.30,0.30,"0.607360;-0.274802;0.339901;0.000000;-3.141590;0.000000","-0.128900;-1.540886;-1.932730;-1.238644;1.554514;1.433690",True,5973.10,0.00,7992.17,116.27,0.00,116.27,,
33,2026-05-04 13:28:58.035,MoveToLL,MoveToLL_moveToTarget_TravelML_robot1_rppickup_rpmanipulate_dup5,movej,rpmanipulate,,0.30,0.30,"0.133776;0.348742;0.490041;0.000000;-3.141590;0.000000","1.656148;-0.959557;-2.051016;-1.701770;1.553554;1.650556",True,15362.94,0.00,17414.36,2736.63,0.00,2736.63,,
34,2026-05-04 13:29:15.706,MoveToLL,MoveToLL_moveToObjPosition_StackML_stick1_table1_robot1_gripper1_finallocstick1_rpmanipulate,planned,finallocstick1,,0.30,0.30,"0.257008;0.974215;-0.009000;1.711034;-2.634761;0.000000","",True,23949.84,0.00,25976.61,256.19,0.00,256.19,,
35,2026-05-04 13:29:41.819,MoveToLL,MoveToLL_moveToRobotPosition_StackML_stick1_table1_robot1_gripper1_finallocstick1_rpmanipulate,movej,rpmanipulate,,0.30,0.30,"0.133776;0.348742;0.490041;0.000000;-3.141590;0.000000","1.656148;-0.959557;-2.051016;-1.701770;1.553554;1.650556",True,22697.62,0.00,24730.41,136.18,0.00,136.18,,
36,2026-05-04 13:30:09.163,MoveToLL,MoveToLL_moveToTarget_TravelML_robot1_rpmanipulate_rppickup_dup6,movej,rppickup,,0.30,0.30,"0.607360;-0.274802;0.339901;0.000000;-3.141590;0.000000","-0.128900;-1.540886;-1.932730;-1.238644;1.554514;1.433690",True,15495.58,0.00,17537.10,2614.08,0.00,2614.08,,
37,2026-05-04 13:30:29.358,MoveToLL,MoveToLL_moveToPickPosition_PickUpML_stickdummy_temploc2_robot1_gripper1_rppickup,movel,temploc2,,0.30,0.30,"0.607370;-0.274820;0.009000;0.000000;-3.141590;0.000000","",True,6327.68,0.00,8366.39,2658.12,0.00,2658.12,,
38,2026-05-04 13:30:37.863,CloseGripperLL,CloseGripperLL_closeGripper_PickUpML_stickdummy_temploc2_robot1_gripper1_rppickup,close_gripper,,,0.50,1.00,"","",True,12.43,0.00,2040.99,138.00,0.00,138.00,,
39,2026-05-04 13:30:40.033,MoveToLL,MoveToLL_moveToRetract_PickUpML_stickdummy_temploc2_robot1_gripper1_rppickup,movel,rppickup,,0.30,0.30,"0.607360;-0.274802;0.339901;0.000000;-3.141590;0.000000","-0.128900;-1.540886;-1.932730;-1.238644;1.554514;1.433690",True,5947.87,0.00,7984.25,129.20,0.00,129.20,,
40,2026-05-04 13:30:48.301,MoveToLL,MoveToLL_moveToPutDownPosition_PutDownML_stickdummy_temploc3_robot1_gripper1_rppickup,movel,temploc3,,0.30,0.30,"0.607370;0.012000;-0.009000;0.000000;-3.141593;0.000000","",True,6313.48,0.00,8335.07,284.02,0.00,284.02,,
41,2026-05-04 13:30:56.765,OpenGripperLL,OpenGripperLL_openGripper_PutDownML_stickdummy_temploc3_robot1_gripper1_rppickup,open_gripper,,,0.50,1.00,"","",True,13.43,0.00,2039.40,128.20,0.00,128.20,,
42,2026-05-04 13:30:58.924,MoveToLL,MoveToLL_moveToRetract_PutDownML_stickdummy_temploc3_robot1_gripper1_rppickup,movel,rppickup,,0.30,0.30,"0.607360;-0.274802;0.339901;0.000000;-3.141590;0.000000","-0.128900;-1.540886;-1.932730;-1.238644;1.554514;1.433690",True,6672.41,0.00,8692.48,119.79,0.00,119.79,,
43,2026-05-04 13:31:07.869,MoveToLL,MoveToLL_moveToPickPosition_PickUpML_stick3_initlocstick3_robot1_gripper1_rppickup_dup2,movel,initlocstick3,,0.30,0.30,"0.607370;-0.274820;-0.006000;0.000000;-3.141590;0.000000","",True,6323.86,0.00,8369.52,252.45,0.00,252.45,,
44,2026-05-04 13:31:16.357,CloseGripperLL,CloseGripperLL_closeGripper_PickUpML_stick3_initlocstick3_robot1_gripper1_rppickup_dup2,close_gripper,,,0.50,1.00,"","",True,14.18,0.00,2048.56,118.60,0.00,118.60,,
45,2026-05-04 13:31:18.531,MoveToLL,MoveToLL_moveToRetract_PickUpML_stick3_initlocstick3_robot1_gripper1_rppickup_dup2,movel,rppickup,,0.30,0.30,"0.607360;-0.274802;0.339901;0.000000;-3.141590;0.000000","-0.128900;-1.540886;-1.932730;-1.238644;1.554514;1.433690",True,5947.85,0.00,7982.42,125.67,0.00,125.67,,
46,2026-05-04 13:31:29.212,MoveToLL,MoveToLL_moveToTarget_TravelML_robot1_rppickup_rpmanipulate_dup6,movej,rpmanipulate,,0.30,0.30,"0.133776;0.348742;0.490041;0.000000;-3.141590;0.000000","1.656148;-0.959557;-2.051016;-1.701770;1.553554;1.650556",True,15418.34,0.00,17451.83,2698.80,0.00,2698.80,,
47,2026-05-04 13:31:46.927,MoveToLL,MoveToLL_moveToObjPosition_StackML_stick3_table1_robot1_gripper1_finallocstick3_rpmanipulate,planned,finallocstick3,,0.30,0.30,"0.116090;0.682294;-0.010000;2.634761;1.711034;0.000000","",True,15941.20,0.00,17960.38,263.28,0.00,263.28,,
48,2026-05-04 13:32:05.019,MoveToLL,MoveToLL_moveToRobotPosition_StackML_stick3_table1_robot1_gripper1_finallocstick3_rpmanipulate,movej,rpmanipulate,,0.30,0.30,"0.133776;0.348742;0.490041;0.000000;-3.141590;0.000000","1.656148;-0.959557;-2.051016;-1.701770;1.553554;1.650556",True,10772.56,0.00,12802.64,130.91,0.00,130.91,,
49,2026-05-04 13:32:20.480,MoveToLL,MoveToLL_moveToTarget_TravelML_robot1_rpmanipulate_rppickup_dup7,movej,rppickup,,0.30,0.30,"0.607360;-0.274802;0.339901;0.000000;-3.141590;0.000000","-0.128900;-1.540886;-1.932730;-1.238644;1.554514;1.433690",True,15446.31,0.00,17490.86,2658.71,0.00,2658.71,,
50,2026-05-04 13:32:38.244,MoveToLL,MoveToLL_moveToPickPosition_PickUpML_stick2_initlocstick2_robot1_gripper1_rppickup_dup2,movel,initlocstick2,,0.30,0.30,"0.607370;-0.274820;-0.006000;0.000000;-3.141590;0.000000","",True,6325.64,0.00,8351.24,273.03,0.00,273.03,,
51,2026-05-04 13:32:46.714,CloseGripperLL,CloseGripperLL_closeGripper_PickUpML_stick2_initlocstick2_robot1_gripper1_rppickup_dup2,close_gripper,,,0.50,1.00,"","",True,0.93,0.00,2039.38,119.34,0.00,119.34,,
52,2026-05-04 13:32:48.885,MoveToLL,MoveToLL_moveToRetract_PickUpML_stick2_initlocstick2_robot1_gripper1_rppickup_dup2,movel,rppickup,,0.30,0.30,"0.607360;-0.274802;0.339901;0.000000;-3.141590;0.000000","-0.128900;-1.540886;-1.932730;-1.238644;1.554514;1.433690",True,5964.80,0.00,7991.71,131.28,0.00,131.28,,
53,2026-05-04 13:32:59.522,MoveToLL,MoveToLL_moveToTarget_TravelML_robot1_rppickup_rpmanipulate_dup7,movej,rpmanipulate,,0.30,0.30,"0.133776;0.348742;0.490041;0.000000;-3.141590;0.000000","1.656148;-0.959557;-2.051016;-1.701770;1.553554;1.650556",True,15472.54,0.00,17506.24,2644.83,0.00,2644.83,,
54,2026-05-04 13:33:17.292,MoveToLL,MoveToLL_moveToObjPosition_StackML_stick2_table1_robot1_gripper1_finallocstick2_rpmanipulate,planned,finallocstick2,,0.30,0.30,"0.329976;0.764397;-0.010000;-0.653174;-3.072941;0.000000","",True,16730.28,0.00,18758.36,263.99,0.00,263.99,,
55,2026-05-04 13:33:36.172,MoveToLL,MoveToLL_moveToRobotPosition_StackML_stick2_table1_robot1_gripper1_finallocstick2_rpmanipulate,movej,rpmanipulate,,0.30,0.30,"0.133776;0.348742;0.490041;0.000000;-3.141590;0.000000","1.656148;-0.959557;-2.051016;-1.701770;1.553554;1.650556",True,13598.92,0.00,15621.22,121.41,0.00,121.41,,
56,2026-05-04 13:33:54.450,MoveToLL,MoveToLL_moveToTarget_TravelML_robot1_rpmanipulate_rppickup_dup8,movej,rppickup,,0.30,0.30,"0.607360;-0.274802;0.339901;0.000000;-3.141590;0.000000","-0.128900;-1.540886;-1.932730;-1.238644;1.554514;1.433690",True,15473.66,0.00,17491.75,2657.50,0.00,2657.50,,
57,2026-05-04 13:34:12.184,MoveToLL,MoveToLL_moveToPickPosition_PickUpML_stick6_initlocstick6_robot1_gripper1_rppickup,movel,initlocstick6,,0.30,0.30,"0.607370;-0.274820;-0.006000;0.000000;-3.141590;0.000000","",True,6357.32,0.00,8380.28,242.23,0.00,242.23,,
58,2026-05-04 13:38:14.216,MoveToLL,MoveToLL_moveToTarget_TravelML_robot1_rpmanipulate_rppickup_dup9,movej,rppickup,,0.30,0.30,"0.607360;-0.274802;0.339901;0.000000;-3.141590;0.000000","-0.128900;-1.540886;-1.932730;-1.238644;1.554514;1.433690",True,8214.00,0.00,10240.01,233651.70,0.00,233651.70,,
59,2026-05-04 13:38:24.703,MoveToLL,MoveToLL_moveToPickPosition_PickUpML_stick6_temploc1_robot1_gripper1_rppickup,movel,temploc1,,0.30,0.30,"0.607370;0.012000;-0.009000;0.000000;-3.141590;0.000000","",True,7042.57,0.00,9075.66,246.69,0.00,246.69,,
60,2026-05-04 13:38:33.901,CloseGripperLL,CloseGripperLL_closeGripper_PickUpML_stick6_temploc1_robot1_gripper1_rppickup,close_gripper,,,0.50,1.00,"","",True,13.26,0.00,2054.05,122.62,0.00,122.62,,
61,2026-05-04 13:38:36.075,MoveToLL,MoveToLL_moveToRetract_PickUpML_stick6_temploc1_robot1_gripper1_rppickup,movel,rppickup,,0.30,0.30,"0.607360;-0.274802;0.339901;0.000000;-3.141590;0.000000","-0.128900;-1.540886;-1.932730;-1.238644;1.554514;1.433690",True,6643.42,0.00,8692.19,119.72,0.00,119.72,,
62,2026-05-04 13:44:11.284,MoveToLL,MoveToLL_moveToTarget_TravelML_robot1_rppickup_rpmanipulate_dup8,movej,rpmanipulate,,0.30,0.30,"0.133776;0.348742;0.490041;0.000000;-3.141590;0.000000","1.656148;-0.959557;-2.051016;-1.701770;1.553554;1.650556",True,15258.28,0.00,17299.31,326516.78,0.00,326516.78,,
63,2026-05-04 13:44:28.824,MoveToLL,MoveToLL_moveToObjPosition_StackOnTwoML_stick6_robot1_finallocstick6_rpmanipulate_stick2_stick1_gripper1_layer1_layer2,planned,finallocstick6,,0.30,0.30,"0.335155;0.883030;0.008500;0.518512;-3.098508;0.000000","",True,19152.39,0.00,21187.25,240.40,0.00,240.40,,
64,2026-05-04 13:44:50.131,MoveToLL,MoveToLL_moveToRobotPos_StackOnTwoML_stick6_robot1_finallocstick6_rpmanipulate_stick2_stick1_gripper1_layer1_layer2,movej,rpmanipulate,,0.30,0.30,"0.133776;0.348742;0.490041;0.000000;-3.141590;0.000000","1.656148;-0.959557;-2.051016;-1.701770;1.553554;1.650556",True,17806.15,0.00,19832.14,120.07,0.00,120.07,,
65,2026-05-04 13:45:12.762,MoveToLL,MoveToLL_moveToTarget_TravelML_robot1_rpmanipulate_rppickup_dup10,movej,rppickup,,0.30,0.30,"0.607360;-0.274802;0.339901;0.000000;-3.141590;0.000000","-0.128900;-1.540886;-1.932730;-1.238644;1.554514;1.433690",True,15313.62,0.00,17350.42,2799.13,0.00,2799.13,,
66,2026-05-04 13:45:30.369,MoveToLL,MoveToLL_moveToPickPosition_PickUpML_stick7_initlocstick7_robot1_gripper1_rppickup,movel,initlocstick7,,0.30,0.30,"0.607370;-0.274820;-0.006000;0.000000;-3.141590;0.000000","",True,6339.94,0.00,8365.55,256.68,0.00,256.68,,
67,2026-05-04 13:45:38.865,CloseGripperLL,CloseGripperLL_closeGripper_PickUpML_stick7_initlocstick7_robot1_gripper1_rppickup,close_gripper,,,0.50,1.00,"","",True,19.12,0.00,2041.31,130.21,0.00,130.21,,
68,2026-05-04 13:45:41.030,MoveToLL,MoveToLL_moveToRetract_PickUpML_stick7_initlocstick7_robot1_gripper1_rppickup,movel,rppickup,,0.30,0.30,"0.607360;-0.274802;0.339901;0.000000;-3.141590;0.000000","-0.128900;-1.540886;-1.932730;-1.238644;1.554514;1.433690",True,5939.19,0.00,7985.68,123.43,0.00,123.43,,
69,2026-05-04 13:45:51.991,MoveToLL,MoveToLL_moveToTarget_TravelML_robot1_rppickup_rpmanipulate_dup9,movej,rpmanipulate,,0.30,0.30,"0.133776;0.348742;0.490041;0.000000;-3.141590;0.000000","1.656148;-0.959557;-2.051016;-1.701770;1.553554;1.650556",True,15246.43,0.00,17270.13,2974.91,0.00,2974.91,,
70,2026-05-04 13:46:09.502,MoveToLL,MoveToLL_moveToObjPosition_StackOnTwoML_stick7_robot1_finallocstick7_rpmanipulate_stick2_stick3_gripper1_layer1_layer2,planned,finallocstick7,,0.30,0.30,"0.234723;0.677114;0.007500;-1.824332;-2.557619;0.000000","",True,18346.52,0.00,20386.62,240.88,0.00,240.88,,
71,2026-05-04 13:46:30.008,MoveToLL,MoveToLL_moveToRobotPos_StackOnTwoML_stick7_robot1_finallocstick7_rpmanipulate_stick2_stick3_gripper1_layer1_layer2,movej,rpmanipulate,,0.30,0.30,"0.133776;0.348742;0.490041;0.000000;-3.141590;0.000000","1.656148;-0.959557;-2.051016;-1.701770;1.553554;1.650556",True,10792.00,0.00,12812.03,120.16,0.00,120.16,,
72,2026-05-04 13:46:45.551,MoveToLL,MoveToLL_moveToTarget_TravelML_robot1_rpmanipulate_rppickup_dup11,movej,rppickup,,0.30,0.30,"0.607360;-0.274802;0.339901;0.000000;-3.141590;0.000000","-0.128900;-1.540886;-1.932730;-1.238644;1.554514;1.433690",True,15389.46,0.00,17421.09,2730.96,0.00,2730.96,,
73,2026-05-04 13:47:03.236,MoveToLL,MoveToLL_moveToPickPosition_PickUpML_cube1_initloccube1_robot1_gripper1_rppickup,movel,initloccube1,,0.30,0.30,"0.607370;-0.274820;-0.009000;0.000000;-3.141590;0.000000","",True,6332.65,0.00,8358.06,263.33,0.00,263.33,,
74,2026-05-04 13:47:11.718,CloseGripperLL,CloseGripperLL_closeGripper_PickUpML_cube1_initloccube1_robot1_gripper1_rppickup,close_gripper,,,0.50,1.00,"","",True,15.07,0.00,2050.92,123.93,0.00,123.93,,
75,2026-05-04 13:47:13.892,MoveToLL,MoveToLL_moveToRetract_PickUpML_cube1_initloccube1_robot1_gripper1_rppickup,movel,rppickup,,0.30,0.30,"0.607360;-0.274802;0.339901;0.000000;-3.141590;0.000000","-0.128900;-1.540886;-1.932730;-1.238644;1.554514;1.433690",True,5966.84,0.00,7985.11,123.20,0.00,123.20,,
76,2026-05-04 13:47:24.524,MoveToLL,MoveToLL_moveToTarget_TravelML_robot1_rppickup_rpmanipulate_dup10,movej,rpmanipulate,,0.30,0.30,"0.133776;0.348742;0.490041;0.000000;-3.141590;0.000000","1.656148;-0.959557;-2.051016;-1.701770;1.553554;1.650556",True,15466.61,0.00,17503.74,2647.42,0.00,2647.42,,
77,2026-05-04 13:47:42.276,MoveToLL,MoveToLL_moveToObjPosition_StackML_cube1_stick1_robot1_gripper1_finalloccube1_rpmanipulate,planned,finalloccube1,,0.30,0.30,"0.197262;1.000816;0.008500;2.634761;1.711034;0.000000","",True,19947.05,0.00,21981.60,247.81,0.00,247.81,,
78,2026-05-04 13:48:04.389,MoveToLL,MoveToLL_moveToRobotPosition_StackML_cube1_stick1_robot1_gripper1_finalloccube1_rpmanipulate,movej,rpmanipulate,,0.30,0.30,"0.133776;0.348742;0.490041;0.000000;-3.141590;0.000000","1.656148;-0.959557;-2.051016;-1.701770;1.553554;1.650556",True,12864.62,0.00,14906.34,131.35,0.00,131.35,,
79,2026-05-04 13:48:22.189,MoveToLL,MoveToLL_moveToTarget_TravelML_robot1_rpmanipulate_rppickup_dup12,movej,rppickup,,0.30,0.30,"0.607360;-0.274802;0.339901;0.000000;-3.141590;0.000000","-0.128900;-1.540886;-1.932730;-1.238644;1.554514;1.433690",True,15305.93,0.00,17350.62,2893.39,0.00,2893.39,,
80,2026-05-04 13:48:39.789,MoveToLL,MoveToLL_moveToPickPosition_PickUpML_stick8_initlocstick8_robot1_gripper1_rppickup,movel,initlocstick8,,0.30,0.30,"0.607370;-0.274820;-0.006000;0.000000;-3.141590;0.000000","",True,6351.19,0.00,8369.98,250.14,0.00,250.14,,
81,2026-05-04 13:48:48.290,CloseGripperLL,CloseGripperLL_closeGripper_PickUpML_stick8_initlocstick8_robot1_gripper1_rppickup,close_gripper,,,0.50,1.00,"","",True,13.68,0.00,2037.33,130.74,0.00,130.74,,
82,2026-05-04 13:48:50.449,MoveToLL,MoveToLL_moveToRetract_PickUpML_stick8_initlocstick8_robot1_gripper1_rppickup,movel,rppickup,,0.30,0.30,"0.607360;-0.274802;0.339901;0.000000;-3.141590;0.000000","-0.128900;-1.540886;-1.932730;-1.238644;1.554514;1.433690",True,5950.51,0.00,7986.19,121.84,0.00,121.84,,
